"Date","Price","Open","High","Low","Vol.","Change %"
"08/02/2022","221.42","222.76","228.20","220.88","6.36M","-2.12%"
"08/01/2022","226.21","223.10","228.39","221.00","5.53M","0.58%"
"07/29/2022","224.90","223.29","230.75","222.40","9.06M","-0.50%"
"07/28/2022","226.02","224.60","228.10","219.67","8.97M","-0.32%"
"07/27/2022","226.75","216.48","227.78","214.58","10.51M","6.00%"
"07/26/2022","213.91","216.66","219.39","211.64","9.51M","-2.11%"
"07/25/2022","218.51","221.31","225.23","216.35","10.94M","-0.88%"
"07/22/2022","220.44","222.38","229.35","218.44","17.81M","-1.54%"
"07/21/2022","223.88","214.30","224.32","211.50","23.43M","3.44%"
"07/20/2022","216.44","208.17","216.97","200.10","53.92M","7.35%"
"07/19/2022","201.63","193.02","201.97","188.40","28.18M","5.61%"
"07/18/2022","190.92","192.50","199.67","189.80","16.32M","0.96%"
"07/15/2022","189.11","175.58","189.22","174.56","16.32M","8.20%"
"07/14/2022","174.78","175.56","177.52","171.82","9.04M","-1.01%"
"07/13/2022","176.56","170.50","179.18","169.70","12.73M","1.21%"
"07/12/2022","174.45","177.33","179.78","173.42","6.85M","-1.63%"
"07/11/2022","177.34","184.73","184.99","176.89","6.05M","-5.15%"
"07/08/2022","186.98","186.02","189.91","182.75","5.84M","-1.21%"
"07/07/2022","189.27","184.27","190.21","183.50","6.33M","2.83%"
"07/06/2022","184.06","185.20","186.22","180.82","5.75M","-0.98%"
"07/05/2022","185.88","176.28","185.92","172.68","7.34M","3.30%"
"07/01/2022","179.95","176.49","180.10","174.27","5.20M","2.91%"
"06/30/2022","174.87","177.07","179.45","170.30","7.89M","-1.96%"
"06/29/2022","178.36","179.55","180.66","175.10","5.77M","-0.69%"
"06/28/2022","179.60","189.20","192.20","179.37","7.20M","-5.04%"
"06/27/2022","189.14","191.77","191.78","182.39","8.36M","-0.90%"
"06/24/2022","190.85","183.50","191.19","181.84","12.42M","5.03%"
"06/23/2022","181.71","180.50","182.76","175.87","9.54M","1.58%"
"06/22/2022","178.89","170.75","182.82","170.20","12.01M","4.67%"
"06/21/2022","170.91","177.60","178.62","169.80","12.18M","-2.62%"
"06/17/2022","175.51","173.63","179.65","173.34","12.13M","1.25%"
"06/16/2022","173.35","174.00","176.27","171.56","8.20M","-3.75%"
"06/15/2022","180.11","169.26","183.85","168.53","12.40M","7.50%"
"06/14/2022","167.54","169.75","172.06","164.28","11.56M","-1.27%"
"06/13/2022","169.69","177.07","179.09","168.96","10.22M","-7.24%"
"06/10/2022","182.94","182.64","185.86","180.85","13.07M","-5.10%"
"06/09/2022","192.77","200.65","201.69","192.54","6.95M","-4.96%"
"06/08/2022","202.83","197.95","207.38","197.64","7.24M","2.12%"
"06/07/2022","198.61","194.87","199.60","193.00","4.84M","0.75%"
"06/06/2022","197.14","202.09","203.87","195.38","5.37M","-0.92%"
"06/03/2022","198.98","200.14","202.95","198.05","7.19M","-2.98%"
"06/02/2022","205.09","192.02","205.47","191.72","9.62M","6.31%"
"06/01/2022","192.91","198.70","202.74","191.66","8.42M","-2.29%"
"05/31/2022","197.44","196.18","199.95","190.80","11.40M","1.15%"
"05/27/2022","195.19","193.19","195.25","190.37","8.59M","1.98%"
"05/26/2022","191.40","186.49","192.34","183.09","8.05M","1.90%"
